codigo;Chasis;CLICODIGO_SIMEC;monedaprevision_simec
223;35447;1ML00063;2
224;35448;1ML00064;2
225;35500;1ML00065;2
10;10722;1ML00070;2
395;75356;1ML00066;2
396;75357;1ML00067;2
648;31619;1ML00068;2
290;5052;1ML00069;2
713;38029;1ML00097;2
208;2869;1ML00076;2
329;58489;1ML00071;2
404;76730;1ML00072;2
307;5298;1ML00073;2
308;5299;1ML00074;2
309;5300;1ML00075;2
148;22482;1ML00713;2
146;224;1ML00077;2
412;7920;1ML00078;2
168;23951;1ML00079;2
169;23952;1ML00080;2
57;14553;1ML00271;2
141;21841;1ML00081;2
142;21842;1ML00082;2
904;48211;1ML00781;2
128;2073;1ML00086;2
302;5255;1ML00084;2
303;5256;1ML00085;2
498;91636;1ML00087;2
1052;58291;1ML00794;1
511;E93204;1ML00088;2
478;89550;1ML00090;2
479;89551;1ML00091;2
296;5247;1ML00092;2
197;24509;1ML00093;2
628;28119;1ML00094;2
716;32532;1ML00095;2
782;41509;1ML00096;2
357;68922;1ML00098;2
769;40356;1ML00099;2
17;12194;1ML00101;2
627;25383;1ML00103;2
979;52959;1ML00744;2
1035;57148;1ML00782;2
1036;57149;1ML00783;2
798;43445;1ML00153;2
1027;55735;1ML00677;2
1026;55733;1ML00757;2
1028;55734;1ML00717;2
164;2385;1ML00104;2
165;2386;1ML00105;2
26;12695;1ML00258;2
71;16006;1ML00203;2
592;28813;1ML00281;2
281;4524;1ML00106;2
282;4525;1ML00107;2
283;4526;1ML00108;2
284;4527;1ML00109;2
285;4528;1ML00110;2
493;91224;1ML00644;2
771;35026;1ML00111;2
91;17744;1ML00112;2
64;15290;1ML00113;2
702;37162;1ML00238;2
45;1432;1ML00115;2
827;44870;1ML00116;2
277;43325;1ML00117;2
278;43326;1ML00118;2
715;38084;1ML00119;2
469;8636;1ML00120;2
325;58325;1ML00122;2
413;7921;1ML00126;2
452;83388;1ML00127;2
453;83389;1ML00128;2
717;38549;1ML00129;2
718;38550;1ML00130;2
724;33532;1ML00131;2
323;58322;1ML00132;2
458;84042;1ML00133;2
886;47998;1ML00270;2
791;41697;1ML00322;2
140;21745;1ML00135;2
559;EH-25064;1ML00136;2
868;47078;1ML00137;2
783;41564;1ML00138;2
78;16114;1ML00139;2
79;16115;1ML00140;2
963;37406;1ML00125;2
650;31682;1ML00142;2
654;32320;1ML00143;2
204;34883;1ML00239;2
1135;63118;1ML00762;2
247;40823;1ML00144;2
248;40824;1ML00145;2
249;40825;1ML00146;2
250;40826;1ML00147;2
466;86310;1ML00148;2
448;81066;1ML00149;2
449;81067;1ML00150;2
118;19622;1ML00151;2
420;7929;1ML00152;2
935;51293;1ML00825;2
936;51294;1ML00826;2
937;51295;1ML00824;2
938;51296;1ML00827;2
1069;59072;1ML00745;2
35;13428;1ML00155;2
407;77349;1ML00156;2
796;42952;1ML00157;2
203;25610;1ML00158;2
324;58324;1ML00159;2
202;25525;1ML00160;2
216;2894;1ML00508;2
621;15995;1ML00161;2
297;5248;1ML00162;2
1375;ET0004;1ML00840;2
1152;63641;1ML00795;2
1153;63655;1ML00867;2
810;43562;1ML00163;2
16;11192;1ML00164;2
217;2944;1ML00165;2
218;2945;1ML00166;2
219;2946;1ML00167;2
147;2246;1ML00168;2
612;29770;1ML00169;2
639;28190;1ML00622;2
328;58488;1ML00171;2
1029;55745;1ML00773;2
417;7926;1ML00172;2
48;1436;1ML00173;2
49;1437;1ML00174;2
773;40448;1ML00175;2
1229;61611;1ML00774;2
167;2392;1ML00280;2
102;18984;1ML00178;2
995;54234;1ML00758;2
657;32383;1ML00179;2
1081;59848;1ML00746;2
942;51642;1ML00180;2
638;27380;1ML00181;2
644;28815;1ML00473;2
272;42409;1ML00182;2
87;17297;1ML00183;2
1242;71353;1ML00889;2
799;43988;1ML00184;2
1083;60452;1ML00703;2
414;7923;1ML00185;2
931;51057;1ML00700;2
664;34083;1ML00186;2
902;48973;1ML00685;2
901;49042;1ML00686;2
900;49043;1ML00687;2
863;46895;1ML00784;2
344;64738;1ML00187;2
345;64739;1ML00188;2
346;64740;1ML00189;2
435;79513;1ML00190;2
436;79514;1ML00191;2
437;79515;1ML00192;2
431;79444;1ML00200;2
425;79438;1ML00194;2
432;79445;1ML00201;2
430;79443;1ML00199;2
428;79441;1ML00197;2
427;79440;1ML00196;2
429;79442;1ML00198;2
424;79437;1ML00193;2
433;79457;1ML00202;2
426;79439;1ML00195;2
226;35542;1ML00832;2
1049;58018;1ML00830;2
1050;60568;1ML00831;2
