CodCoti;Callcenter;Observacion_Evento
5277;26917;Cierre
5275;26617;Cierre
5269;26851;Cierre
5268;26852;Cierre
5267;26819;Cierre
5264;26875;Cierre
5257;26858;Cierre
5253;26833;Cierre
5251;26822;Cierre
5250;26821;Cierre
5249;26806;Cierre
5248;26793;Cierre
5247;26791;Cierre
5246;26761;Cierre
5245;26760;Cierre
5243;26751;Cierre
5242;26682;Cierre
5238;26593;Cierre
5236;26589;Cierre
5233;26587;Cierre
5232;26584;Cierre
5231;26585;Cierre
5230;26552;Cierre
5228;26551;Cierre
5227;26550;Cierre
5226;26549;Cierre
5224;26547;Cierre
5223;26546;Cierre
5222;26835;Cierre
5221;26834;Cierre
5216;26677;Cierre
5207;26792;Cierre
5202;26709;Cierre
5194;26628;Cierre
5193;;Cierre
5189;26654;Cierre
5188;26448;Cierre
5187;26555;Cierre
5185;26581;Cierre
5183;26530;Cierre
5182;26567;Cierre
5181;26499;Cierre
5179;26558;Cierre
5178;26545;Cierre
5176;26543;Cierre
5172;26539;Cierre
5169;26497;Cierre
5140;26582;Cierre
5133;26557;Cierre
5116;26518;Cierre
5111;26501;Cierre
5107;26498;Cierre
5103;26474;Cierre
5102;26483;Cierre
5098;26460;Cierre
5097;26453;Cierre
5096;26437;Cierre
5094;26431;Cierre
5093;26430;Cierre
5092;26429;Cierre
5091;26428;Cierre
5090;26427;Cierre
5088;26401;Cierre
5086;26378;Cierre
5084;26372;Cierre
5083;26370;Cierre
5082;26369;Cierre
5080;26365;Cierre
5079;26364;Cierre
5077;26362;Cierre
5072;26469;Cierre
5068;26458;Cierre
5059;26361;Cierre
5058;26367;Cierre
5057;26452;Cierre
5055;26450;Cierre
5051;26432;Cierre
5050;26408;Cierre
5049;26449;Cierre
5047;26434;Cierre
5046;26439;Cierre
5031;26424;Cierre
5006;26330;Cierre
5005;24568;Cierre
5004;24569;Cierre
5002;26266;Cierre
5001;26307;Cierre
5000;26306;Cierre
4999;26305;Cierre
4998;26304;Cierre
4997;26303;Cierre
4996;26302;Cierre
4995;26300;Cierre
4994;26297;Cierre
4992;26292;Cierre
4991;26291;Cierre
4983;26263;Cierre
4979;26299;Cierre
4978;26298;Cierre
4974;26308;Cierre
4959;26290;Cierre
4958;25868;Cierre
4957;26289;Cierre
4949;26253;Cierre
4948;26248;Cierre
4947;26237;Cierre
4946;26197;Cierre
4945;26193;Cierre
4944;26180;Cierre
4943;26179;Cierre
4942;26178;Cierre
4941;26169;Cierre
4940;;Cierre
4922;26148;Cierre
4921;26150;Cierre
4917;26135;Cierre
4916;26129;Cierre
4912;26028;Cierre
4911;26075;Cierre
4910;26081;Cierre
4909;26100;Cierre
4907;26058;Cierre
4906;26080;Cierre
4902;26063;Cierre
4900;26061;Cierre
4897;26031;Cierre
4896;25944;Cierre
4895;25985;Cierre
4890;25999;Cierre
4889;26000;Cierre
4888;25997;Cierre
4887;26001;Cierre
4886;25996;Cierre
4885;25995;Cierre
4884;25993;Cierre
4883;25990;Cierre
4882;25987;Cierre
4880;25979;Cierre
4878;25988;Cierre
4877;25986;Cierre
4876;25978;Cierre
4873;25974;Cierre
4871;26008;Cierre
4869;25895;Cierre
4868;26003;Cierre
4867;25857;Cierre
4865;25875;Cierre
4864;25772;Cierre
4863;25829;Cierre
4839;25890;Cierre
4838;25892;Cierre
4833;25935;Cierre
4824;25859;Cierre
4819;25839;Cierre
4816;25827;Cierre
4815;25828;Cierre
4812;25825;Cierre
4811;25826;Cierre
4807;25779;Cierre
4806;25778;Cierre
4803;25817;Cierre
4802;25805;Cierre
4801;25818;Cierre
4787;25804;Cierre
4779;25761;Cierre
4778;25782;Cierre
4774;25776;Cierre
4770;25757;Cierre
4768;25736;Cierre
4767;25741;Cierre
4763;25660;Cierre
4761;25685;Cierre
4759;25490;Cierre
4758;25491;Cierre
4757;25492;Cierre
4756;25540;Cierre
4754;25603;Cierre
4753;25616;Cierre
4752;25642;Cierre
4750;25673;Cierre
4747;25651;Cierre
4746;25652;Cierre
4745;25602;Cierre
4740;25605;Cierre
4739;25606;Cierre
4738;25604;Cierre
4737;25607;Cierre
4736;25639;Cierre
4726;25564;Cierre
4725;25584;Cierre
4721;25542;Cierre
4719;25464;Cierre
4718;25526;Cierre
4716;25529;Cierre
4712;25545;Cierre
4706;25502;Cierre
4704;25463;Cierre
4692;25462;Cierre
4690;25212;Cierre
4689;25213;Cierre
4688;25214;Cierre
4687;25215;Cierre
4686;25210;Cierre
4685;25176;Cierre
4682;25216;Cierre
4681;25218;Cierre
4679;25220;Cierre
4675;25281;Cierre
4671;25372;Cierre
4670;25422;Cierre
4669;25426;Cierre
4668;25427;Cierre
4660;25314;Cierre
4647;25313;Cierre
4643;25160;Cierre
4639;24967;Cierre
4638;25162;Cierre
4637;25236;Cierre
4636;25238;Cierre
4635;25242;Cierre
4634;25243;Cierre
4631;25247;Cierre
4630;25250;Cierre
4629;25251;Cierre
4628;25257;Cierre
4627;25276;Cierre
4626;25277;Cierre
4623;25286;Cierre
4618;25241;Cierre
4616;25115;Cierre
4613;25023;Cierre
4612;25024;Cierre
4611;25189;Cierre
4610;25190;Cierre
4609;25191;Cierre
4607;25256;Cierre
4579;25168;Cierre
4577;25196;Cierre
4576;25197;Cierre
4575;25181;Cierre
4567;25188;Cierre
4557;25156;Cierre
4553;25128;Cierre
4534;24927;Cierre
4531;24937;Cierre
4529;25001;Cierre
4528;25002;Cierre
4527;25003;Cierre
4526;25004;Cierre
4516;24960;Cierre
4514;24943;Cierre
4501;24875;Cierre
4500;24874;Cierre
4499;24870;Cierre
4498;24869;Cierre
4497;24868;Cierre
4496;24867;Cierre
4494;24864;Cierre
4493;24860;Cierre
4488;24831;Cierre
4487;24792;Cierre
4483;24806;Cierre
4480;24776;Cierre
4477;24752;Cierre
4476;24757;Cierre
4475;24756;Cierre
4474;24639;Cierre
4469;24701;Cierre
4463;24707;Cierre
4453;24642;Cierre
4452;24641;Cierre
4448;24621;Cierre
4444;24600;Cierre
4443;24598;Cierre
4438;24515;Cierre
4437;24554;Cierre
4434;24472;Cierre
4429;24434;Cierre
4427;24416;Cierre
4421;24357;Cierre
4419;24320;Cierre
4418;24306;Cierre
4414;24248;Cierre
4412;24242;Cierre
4411;24234;Cierre
4409;24229;Cierre
4407;23933;Cierre
4405;24214;Cierre
4404;24206;Cierre
4402;24160;Cierre
4400;24147;Cierre
4399;24146;Cierre
4396;24113;Cierre
4391;24111;Cierre
4386;24020;Cierre
4385;24065;Cierre
4374;23917;Cierre
4371;23910;Cierre
4367;23893;Cierre
4364;23877;Cierre
4363;23876;Cierre
4362;23875;Cierre
4357;23859;Cierre
4354;23816;Cierre
4351;23797;Cierre
4350;23791;Cierre
4349;23758;Cierre
4344;23767;Cierre
4343;23766;Cierre
4342;23765;Cierre
4338;23757;Cierre
4337;23748;Cierre
4336;23746;Cierre
4333;23729;Cierre
4332;23726;Cierre
4327;23703;Cierre
4326;23707;Cierre
4318;23588;Cierre
4317;23587;Cierre
4316;23586;Cierre
4310;23523;Cierre
4309;23521;Cierre
4305;23461;Cierre
4304;23460;Cierre
4298;23428;Cierre
4297;23427;Cierre
4292;23400;Cierre
4280;23359;Cierre
4273;23278;Cierre
4271;23306;Cierre
4270;23305;Cierre
4269;23304;Cierre
4263;23215;Cierre
4255;23097;Cierre
4253;23090;Cierre
4252;23062;Cierre
4240;23006;Cierre
4238;22993;Cierre
4237;22992;Cierre
4235;22990;Cierre
4227;22924;Cierre
4225;22921;Cierre
4224;22918;Cierre
4221;22899;Cierre
4215;22847;Cierre
4212;22795;Cierre
4210;22810;Cierre
4198;22755;Cierre
4192;22683;Cierre
4188;22660;Cierre
4187;22656;Cierre
4186;22638;Cierre
4185;22609;Cierre
4182;22622;Cierre
4180;22621;Cierre
4179;22596;Cierre
4175;22559;Cierre
4168;22519;Cierre
4158;22453;Cierre
4157;22449;Cierre
4156;22443;Cierre
4148;22386;Cierre
4144;22380;Cierre
4142;22294;Cierre
4140;22366;Cierre
4138;22364;Cierre
4136;22360;Cierre
4132;22353;Cierre
4131;22352;Cierre
4128;22349;Cierre
4126;22345;Cierre
4119;22307;Cierre
4115;22303;Cierre
4113;22301;Cierre
4112;22300;Cierre
4111;22299;Cierre
4110;22298;Cierre
4108;22291;Cierre
4107;22271;Cierre
4105;22258;Cierre
4104;22245;Cierre
4100;22236;Cierre
4099;22235;Cierre
4098;22234;Cierre
4096;22224;Cierre
4093;22219;Cierre
4089;22194;Cierre
4088;22193;Cierre
4087;22175;Cierre
4085;22165;Cierre
4066;22070;Cierre
4062;22041;Cierre
4059;22023;Cierre
4057;22009;Cierre
4056;22016;Cierre
4055;21978;Cierre
4052;22002;Cierre
4051;22001;Cierre
4049;21973;Cierre
4047;21938;Cierre
4046;21955;Cierre
4044;21965;Cierre
4039;21932;Cierre
4036;21922;Cierre
4035;21919;Cierre
4030;21878;Cierre
4026;21865;Cierre
4024;21845;Cierre
4016;21760;Cierre
4015;21777;Cierre
4013;21757;Cierre
4007;21713;Cierre
4000;21678;Cierre
3999;21677;Cierre
3998;21676;Cierre
3997;21630;Cierre
3996;21648;Cierre
3995;21641;Cierre
3993;21623;Cierre
3992;21622;Cierre
3983;21470;Cierre
3982;21464;Cierre
3981;21458;Cierre
3972;21354;Cierre
3961;21293;Cierre
3956;21289;Cierre
3953;21273;Cierre
3948;21242;Cierre
3945;21236;Cierre
3943;21232;Cierre
3938;20975;Cierre
3934;21154;Cierre
3933;21152;Cierre
3926;21120;Cierre
3925;21119;Cierre
3922;21114;Cierre
3917;21102;Cierre
3915;21097;Cierre
3914;21095;Cierre
3913;21090;Cierre
3912;21089;Cierre
3910;21086;Cierre
3909;21085;Cierre
3908;21084;Cierre
3907;21083;Cierre
3898;21057;Cierre
3896;21054;Cierre
3892;21049;Cierre
3888;19883;Cierre
3885;19986;Cierre
3881;21029;Cierre
3880;21028;Cierre
3878;21026;Cierre
3877;21025;Cierre
3871;20980;Cierre
3856;20889;Cierre
3847;20802;Cierre
3844;20798;Cierre
3838;20792;Cierre
3834;20785;Cierre
3821;20724;Cierre
3820;20725;Cierre
3819;20723;Cierre
3809;20641;Cierre
3808;20640;Cierre
3801;20568;Cierre
3798;20547;Cierre
3797;20546;Cierre
3796;20545;Cierre
3794;20543;Cierre
3792;20541;Cierre
3791;20540;Cierre
3788;20522;Cierre
3787;20520;Cierre
3785;20518;Cierre
3782;20515;Cierre
3781;20514;Cierre
3780;20513;Cierre
3777;20508;Cierre
3772;20469;Cierre
3765;20405;Cierre
3763;20416;Cierre
3762;20415;Cierre
3758;20407;Cierre
3755;20308;Cierre
3752;20320;Cierre
3746;20294;Cierre
3745;20293;Cierre
3741;20288;Cierre
3729;20236;Cierre
3728;20234;Cierre
3727;20233;Cierre
3726;20232;Cierre
